dataset,subject_id,n_trials,n_responded,n_missed,miss_rate,encoding_accuracy,rt_mean,rt_median,rt_std,rt_cv,Objects_n,Objects_rt_mean,Objects_rt_std,Objects_miss,Scenes_n,Scenes_rt_mean,Scenes_rt_std,Scenes_miss
both,00015,280,280,0,0.0,0.9735099337748344,1.606059801785708,1.5285671999999977,0.5808019543957204,0.3616315866631815,140,1.5551155228571394,0.5663197957512921,0,140,1.6570040807142765,0.5925728382589439,0
both,00016,280,280,0,0.0,0.9745222929936306,1.3472083003572022,1.2104630499998166,0.5016246100354879,0.3723437644367882,140,1.451078670000009,0.5576952866742979,0,140,1.2433379307143955,0.415099251296575,0
both,00017,280,280,1,0.0035714285714285713,0.955696203,1.439953223297491,1.3007495,0.767624765799548,0.5330900708300012,140,1.441776029285714,0.7821448495304537,0,140,1.4381173035971224,0.7555429031430726,1
both,00018,280,280,0,0.0,0.935064935064935,1.2268701971427487,1.0352551499963738,0.5937737811861058,0.4839744111226618,140,1.330060286429008,0.6280822037575328,0,140,1.1236801078564895,0.540124251172076,0
both,00019,280,280,0,0.0,0.9119496855345912,1.298827152857588,1.1429849500054843,0.6194053740450489,0.47689592312747453,140,1.3495685421435546,0.6949703903118424,0,140,1.2480857635716218,0.5309575632026261,0
both,00020,280,280,0,0.0,0.8589743589743589,1.3766747653568538,1.2520799500052817,0.6410033007449074,0.4656170919053275,140,1.3518702707144257,0.6382499196001038,0,140,1.4014792599992818,0.6450768431040338,0
both,00022,280,280,0,0.0,0.967948717948718,1.4654505382142897,1.3814060999999924,0.7186914921531279,0.49042357514766916,140,1.493889605714284,0.7277975255929666,0,140,1.4370114707142951,0.7109377175480975,0
both,00024,280,280,0,0.0,0.9466666666666668,1.2392092628571358,1.0641764500001045,0.6377583422938633,0.5146494312215194,140,1.3495077864285707,0.6230051170921607,0,140,1.128910739285701,0.6354176665573957,0
both,00025,280,280,0,0.0,0.9545454545454546,1.2359661335714334,1.1099984499996935,0.4932942132484713,0.39911628632012275,140,1.3238312642856986,0.526856063184665,0,140,1.148101002857168,0.4419276483198801,0
both,00026,280,280,0,0.0,0.9567901234567902,1.378022356785654,1.2640664499995182,0.5664166494924907,0.411035892635082,140,1.4949117028571761,0.5457156790663165,0,140,1.2611330107141319,0.5644779207294744,0
both,00027,280,280,0,0.0,0.9285714285714286,1.1373128896428588,1.009948750000035,0.5454987915975118,0.47963827418575233,140,1.0786313828571428,0.48492739821591696,0,140,1.195994396428575,0.5959760732549303,0
both,00028,280,280,1,0.0035714285714285713,0.9631901840490796,1.3206111222222445,1.2001421999993909,0.5900461549945452,0.44679780827655846,140,1.2657508700000237,0.554137997129155,0,140,1.3758660525180066,0.621234330451018,1
both,00029,280,280,0,0.0,0.9874213836477987,1.662952691071262,1.6102514000012889,0.6242117038063304,0.37536347675905185,140,1.7346298571427854,0.6617453227171237,0,140,1.5912755249997386,0.5777781950435552,0
both,00030,280,280,1,0.0035714285714285713,0.9745222929936306,1.4925047121863741,1.5737828999999692,0.8403690725570487,0.5630595774307404,140,1.4758272122302278,0.8522366170141096,1,140,1.5090630871428337,0.8311462239359877,0
both,00031,280,280,0,0.0,0.9182389937106918,1.4952487482152979,1.3723601999809034,0.6375473833416719,0.426382154877332,140,1.4851099664274703,0.6031844675140184,0,140,1.5053875300031254,0.6721748150032596,0
both,00032,280,280,0,0.0,0.9693251533742332,1.4555604042861108,1.3647352500047418,0.6817680014501948,0.46838866971279863,140,1.4913509642856038,0.6504421532312544,0,140,1.4197698442866178,0.7122526244371705,0
both,00033,560,560,0,0.0,0.9746835443037974,1.1716713864286217,1.043841749999956,0.6235208341274303,0.5321635753417072,280,1.1932322314285753,0.6111199892007282,0,280,1.150110541428668,0.6360418365688315,0
both,00034,280,280,1,0.0035714285714285713,0.9751552795031057,1.6033552767018124,1.5169062999921152,0.7355490683261582,0.45875613409850247,140,1.6156316230207783,0.7955851505297286,1,140,1.5911666185708393,0.6733219360588897,0
both,00036,280,280,0,0.0,0.9146341463414634,1.3120754867851376,1.172385049998411,0.5620086337444897,0.42833559456364034,140,1.3648212257134478,0.5831571094379702,0,140,1.2593297478568275,0.5369387925775135,0
both,00037,280,280,1,0.0035714285714285713,0.9363057324840764,1.5260368577059855,1.474320000008447,0.8596875342844437,0.5633465076176264,140,1.606409031654065,0.8546487081601055,1,140,1.4462387707146782,0.8602804883738411,0
both,00038,280,280,1,0.0035714285714285713,0.9487179487179488,1.2784161258074347,1.0869380999938585,0.8887984926412581,0.6952341062499521,140,1.3167606647486092,1.0728211478747058,1,140,1.2403454764301256,0.6590374662768428,0
both,00039,280,280,0,0.0,0.9559748427672956,1.2727148285698995,1.1538902999891434,0.5716441224430648,0.4491533449684084,140,1.299698555714401,0.604370055036112,0,140,1.2457311014253978,0.5377499754362677,0
both,00040,280,280,0,0.0,0.9691358024691358,1.4318965449999919,1.3292165500170086,0.580293679342313,0.40526229452024853,140,1.5493667921423497,0.5953565108667077,0,140,1.314426297857634,0.5419018919291615,0
both,00041,280,280,0,0.0,0.9745222929936306,1.5170081110712479,1.405694750003022,0.6778558856583026,0.44683735090884186,140,1.496095052142534,0.7245216162136707,0,140,1.537921169999962,0.6296588755158868,0
both,00042,280,280,0,0.0,0.9671052631578948,1.1901856189285225,1.0875304000037431,0.8248851304591697,0.6930726748335116,140,1.195432746428196,0.8003155530029995,0,140,1.1849384914288488,0.8515901191027033,0
both,00043,280,280,0,0.0,0.9493670886075948,1.67114186571437,1.6402265999931842,0.6947057211997121,0.41570720921574383,140,1.6685447999995502,0.7025636101268673,0,140,1.67373893142919,0.6892712986541111,0
both,00044,280,280,0,0.0,0.937888198757764,1.587797158214172,1.5134582000027876,0.677658170725012,0.4267913991527658,140,1.5692172128571007,0.6625643964799784,0,140,1.6063771035712437,0.6943039411260548,0
both,00045,280,280,1,0.0035714285714285713,0.9407894736842104,1.4372372182792739,1.3576095000025816,0.6568632890762471,0.45703192258176695,140,1.524276219286964,0.6765069120553223,0,140,1.3495720374082187,0.6267276079957026,1
both,00046,280,280,1,0.0035714285714285713,0.9215686274509804,1.5260833924725747,1.4867232000106014,0.5846375323074205,0.3830967135814153,140,1.61622646906419,0.6081488206352734,1,140,1.4365841949994709,0.5479273203304244,0
both,00047,280,280,0,0.0,0.929936305732484,1.3358223878554003,1.1592088999750558,0.6023647928950706,0.45093179929566746,140,1.4669454535702244,0.6194052455380763,0,140,1.204699322140576,0.5567767158111111,0
both,00049,280,280,0,0.0,0.9493670886075948,1.3233363989277027,1.1642698499781545,0.6370995223085866,0.48143429200982246,140,1.3543417828569155,0.6600141449091209,0,140,1.29233101499849,0.6141307230903462,0
both,00050,280,280,1,0.0035714285714285713,0.9745222929936306,1.3506962526879627,1.1814419000293128,0.6202665743088495,0.45921988239360517,140,1.4825940621447184,0.674662157945544,0,140,1.2178495381272016,0.5302305163021026,1
both,00051,280,280,0,0.0,0.9440993788819876,1.6179338460719528,1.5499093999969773,0.531306651420094,0.3283858933478704,140,1.720716890715578,0.5541969595460875,0,140,1.5151508014283277,0.48804648556366026,0
both,00052,280,280,0,0.0,0.9050632911392406,1.9688755253564783,2.079826450004475,0.8039037072053626,0.4083060086085485,140,2.007203020715055,0.8208385974300496,0,140,1.9305480299979016,0.7876779598146041,0
both,00053,280,280,1,0.0035714285714285713,0.9607843137254902,1.3099884623655378,1.164067099976819,0.6024417355615165,0.4598832378062669,140,1.3325432421410888,0.6406889610379493,0,140,1.287271417987285,0.5627071024187608,1
both,00054,280,280,1,0.0035714285714285713,0.9490445859872612,1.3268441318992883,1.1892411999870092,0.5567091091008948,0.4195738562780566,140,1.4175435635718583,0.6103132429199627,0,140,1.2354921863297932,0.4820882388335891,1
both,00055,280,280,1,0.0035714285714285713,0.8148148148148148,1.3174423781362217,1.2544199000003573,0.6652030693142911,0.5049200483859871,140,1.4269520136691138,0.6926878674233995,1,140,1.2087149542857072,0.6202633484869468,0
both,00056,280,280,0,0.0,0.9415584415584416,1.3596733007126853,1.196854500012705,0.5806792509827317,0.42707262890163633,140,1.4151752521421128,0.5973690329498115,0,140,1.3041713492832578,0.5601317548615843,0
both,00057,280,280,0,0.0,0.9551282051282052,1.5716414392857196,1.5138037500000792,0.5452754865080309,0.3469464935690726,140,1.6068112071427874,0.5263048787778666,0,140,1.536471671428652,0.563295034455129,0
both,00058,280,280,0,0.0,0.9867549668874172,1.8555444274960402,1.5377725000143982,1.9193417394633088,1.0343819910867667,140,1.793532120712085,1.76036628026842,0,140,1.9175567342799955,2.0706550371020103,0
both,00059,280,280,0,0.0,0.9683544303797468,1.3994537449988587,1.2693245999980718,0.5174126929637191,0.3697247549715486,140,1.4371602657134646,0.517889114851973,0,140,1.3617472242842528,0.5160277582942655,0
both,00060,280,280,0,0.0,,1.1298476921428569,1.0208963999999998,0.4226850889598159,0.37410802526680026,140,1.1066362328571426,0.4270978853457967,0,140,1.1530591514285715,0.4184648282082351,0
both,00061,280,280,0,0.0,0.9935483870967742,1.4046131110723115,1.2467229000176303,0.5773699378713351,0.411052647394526,140,1.3821688342885214,0.5962176573702614,0,140,1.4270573878561013,0.5591244056790523,0
both,00062,280,280,1,0.0035714285714285713,0.8961038961038961,1.4451973784932328,1.373561000043992,0.729849803009592,0.5050173864628343,140,1.4580325892060264,0.6909245424193351,1,140,1.4324538478569593,0.7688242991541578,0
both,00063,280,280,0,0.0,0.9433962264150944,1.5683303642862094,1.5271593499928713,0.5096188700996281,0.3249435716508427,140,1.6215389078586928,0.4697700981886382,0,140,1.515121820713726,0.543050857176859,0
both,00064,280,280,0,0.0,0.9620253164556962,1.4134395525007026,1.3135338500142097,0.56110100955665,0.39697559656083775,140,1.3209157707161336,0.5027741718563674,0,140,1.5059633342852716,0.60158734862327,0
both,00065,280,280,0,0.0,0.95,1.5642934310736434,1.51796705002198,0.6277684006658804,0.4013111531351348,140,1.630483635001084,0.6297508227392367,0,140,1.4981032271462027,0.6209751278524577,0
both,00066,280,280,0,0.0,0.9625,1.0829150450010534,1.0018761999963317,0.3653133934393297,0.3373426153101182,140,1.0416211735727432,0.36798460199681043,0,140,1.1242089164293638,0.3591939319013377,0
both,00067,280,280,0,0.0,0.968944099378882,1.616852171429907,1.587428849976277,0.688950703041181,0.42610618040107456,140,1.6606765685740226,0.6456424254372187,0,140,1.5730277742857912,0.7293819174007191,0
item_only,00001,280,280,0,0.0,0.8627450980392157,1.161895413928557,0.975981249999677,0.5906289528983106,0.5083322868977495,140,1.2230341628571426,0.604171506330334,0,140,1.1007566649999716,0.5724001161786884,0
item_only,00002,280,280,2,0.007142857142857143,0.7733333333333333,1.8143441802159235,2.092692600001101,0.984395171793424,0.5425625317001717,140,1.707862077857135,1.0672570360288671,0,140,1.922369501449477,0.8833346972695006,2
item_only,00003,280,280,0,0.0,0.7105263157894737,1.4222102185714123,1.3207159500016132,0.7108204006367194,0.4997998125415856,140,1.36894956571419,0.7568665987164487,0,140,1.4754708714286349,0.6600038107592495,0
item_only,00004,280,280,0,0.0,0.8364779874213837,1.3539675578569585,1.1504949499940267,0.6082365584137388,0.44922535616469816,140,1.3859764057140898,0.6130041133299692,0,140,1.3219587099998276,0.6039263427597336,0
item_only,00005,280,280,0,0.0,0.8211920529801324,1.1958146867856287,1.0230619499998284,0.536599592952695,0.44873139532604694,140,1.2598344000000257,0.5550402278599109,0,140,1.1317949735712318,0.5114920110133773,0
item_only,00006,280,280,0,0.0,0.8181818181818182,1.3242584324995863,1.1391890000086278,0.6574434587827525,0.49646159892053987,140,1.3898367914278684,0.6547993292098424,0,140,1.2586800735713042,0.6558569227828576,0
item_only,00007,280,280,0,0.0,0.7643312101910829,1.30831810214326,0.8544235000008484,1.0854477643387295,0.8296512618457018,140,1.3763175871418623,1.103767359789217,0,140,1.2403186171446579,1.066420723128479,0
item_only,00008,280,280,0,0.0,0.7947019867549668,1.8548192435714344,1.643552550000038,1.2276048427605464,0.6618460785412204,140,2.024864732857155,1.4486024833040336,0,140,1.6847737542857137,0.9317580068694571,0
item_only,00009,280,280,2,0.007142857142857143,0.8289473684210527,1.3799885244604424,1.2542440000001989,0.6930973836852687,0.5022486574344963,140,1.5271844798561158,0.7423673184328833,1,140,1.232792569064769,0.6078589198514098,1
item_only,00010,280,280,0,0.0,0.7735849056603774,1.2245244025000075,1.0753844999999274,0.5312642045604927,0.43385350547188417,140,1.261310136428576,0.5272818993800896,0,140,1.1877386685714388,0.5345669026234551,0
